areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2020-05-03,450
K02000001,United Kingdom,overview,2020-05-02,494
K02000001,United Kingdom,overview,2020-05-01,568
K02000001,United Kingdom,overview,2020-04-30,551
K02000001,United Kingdom,overview,2020-04-29,572
K02000001,United Kingdom,overview,2020-04-28,561
K02000001,United Kingdom,overview,2020-04-27,595
K02000001,United Kingdom,overview,2020-04-26,633
K02000001,United Kingdom,overview,2020-04-25,647
K02000001,United Kingdom,overview,2020-04-24,683
K02000001,United Kingdom,overview,2020-04-23,677
K02000001,United Kingdom,overview,2020-04-22,731
K02000001,United Kingdom,overview,2020-04-21,744
K02000001,United Kingdom,overview,2020-04-20,783
K02000001,United Kingdom,overview,2020-04-19,769
K02000001,United Kingdom,overview,2020-04-18,800
K02000001,United Kingdom,overview,2020-04-17,819
K02000001,United Kingdom,overview,2020-04-16,844
K02000001,United Kingdom,overview,2020-04-15,878
K02000001,United Kingdom,overview,2020-04-14,858
K02000001,United Kingdom,overview,2020-04-13,896
K02000001,United Kingdom,overview,2020-04-12,958
K02000001,United Kingdom,overview,2020-04-11,957
K02000001,United Kingdom,overview,2020-04-10,944
K02000001,United Kingdom,overview,2020-04-09,1000
K02000001,United Kingdom,overview,2020-04-08,1075
K02000001,United Kingdom,overview,2020-04-07,999
K02000001,United Kingdom,overview,2020-04-06,895
K02000001,United Kingdom,overview,2020-04-05,917
K02000001,United Kingdom,overview,2020-04-04,907
K02000001,United Kingdom,overview,2020-04-03,840
K02000001,United Kingdom,overview,2020-04-02,806
K02000001,United Kingdom,overview,2020-04-01,769
K02000001,United Kingdom,overview,2020-03-31,660
K02000001,United Kingdom,overview,2020-03-30,592
K02000001,United Kingdom,overview,2020-03-29,506
K02000001,United Kingdom,overview,2020-03-28,436
K02000001,United Kingdom,overview,2020-03-27,398
K02000001,United Kingdom,overview,2020-03-26,362
K02000001,United Kingdom,overview,2020-03-25,303
K02000001,United Kingdom,overview,2020-03-24,237
K02000001,United Kingdom,overview,2020-03-23,186
K02000001,United Kingdom,overview,2020-03-22,164
K02000001,United Kingdom,overview,2020-03-21,130
K02000001,United Kingdom,overview,2020-03-20,109
K02000001,United Kingdom,overview,2020-03-19,74
K02000001,United Kingdom,overview,2020-03-18,68
K02000001,United Kingdom,overview,2020-03-17,52
K02000001,United Kingdom,overview,2020-03-16,47
K02000001,United Kingdom,overview,2020-03-15,32
K02000001,United Kingdom,overview,2020-03-14,22
K02000001,United Kingdom,overview,2020-03-13,16
K02000001,United Kingdom,overview,2020-03-12,13
K02000001,United Kingdom,overview,2020-03-11,8
K02000001,United Kingdom,overview,2020-03-10,3
K02000001,United Kingdom,overview,2020-03-09,5
K02000001,United Kingdom,overview,2020-03-08,3
K02000001,United Kingdom,overview,2020-03-07,0
K02000001,United Kingdom,overview,2020-03-06,0
K02000001,United Kingdom,overview,2020-03-05,3
K02000001,United Kingdom,overview,2020-03-04,0
K02000001,United Kingdom,overview,2020-03-03,2
K02000001,United Kingdom,overview,2020-03-02,1
